Model,BDeu_Score,Score_method,Algorithm,Sample_Size,Training_Time_Seconds,Number_of_Edges,Number_of_df_variables
DiscreteBayesianNetwork with 31 nodes and 109 edges,-5747034.229,bdeu,hill_climb,330504,25.96473002,109,31
DiscreteBayesianNetwork with 31 nodes and 99 edges,-5749291.399,bic-d,hill_climb,330504,23.16214776,99,31
DiscreteBayesianNetwork with 31 nodes and 99 edges,-5750628.159,bdeu,hill_climb,100000,11.33464122,99,31
DiscreteBayesianNetwork with 31 nodes and 103 edges,-5750988.329,bdeu,hill_climb,200000,15.57746696,103,31
DiscreteBayesianNetwork with 31 nodes and 97 edges,-5751498.904,bic-d,GES,330504,25.73321342,97,31
DiscreteBayesianNetwork with 31 nodes and 102 edges,-5751900.927,bic-cg,GES,330504,3781.078361,102,31
DiscreteBayesianNetwork with 31 nodes and 94 edges,-5755303.559,bic-d,hill_climb,200000,14.31305099,94,31
DiscreteBayesianNetwork with 31 nodes and 96 edges,-5756093.681,bdeu,hill_climb,150000,12.20906758,96,31
DiscreteBayesianNetwork with 31 nodes and 93 edges,-5757084.307,bic-d,GES,200000,16.80293703,93,31
DiscreteBayesianNetwork with 31 nodes and 89 edges,-5758384.18,bic-d,GES,150000,11.6038301,89,31
DiscreteBayesianNetwork with 31 nodes and 93 edges,-5758490.385,bic-cg,GES,200000,1583.789559,93,31
DiscreteBayesianNetwork with 31 nodes and 89 edges,-5760826.057,bic-d,hill_climb,150000,12.32085824,89,31
DiscreteBayesianNetwork with 31 nodes and 81 edges,-5762352.686,bic-d,hill_climb,100000,7.941733122,81,31
DiscreteBayesianNetwork with 31 nodes and 81 edges,-5762352.686,bic-d,GES,100000,8.315039158,81,31
DiscreteBayesianNetwork with 31 nodes and 84 edges,-5764140.071,bic-cg,GES,100000,609.9183326,84,31
DiscreteBayesianNetwork with 31 nodes and 83 edges,-5765236.41,bdeu,hill_climb,50000,5.939203024,83,31
DiscreteBayesianNetwork with 31 nodes and 84 edges,-5768362.873,bic-cg,GES,150000,1099.211919,84,31
DiscreteBayesianNetwork with 31 nodes and 70 edges,-5776458.15,bic-cg,GES,50000,239.1948173,70,31
DiscreteBayesianNetwork with 31 nodes and 69 edges,-5780070.514,bic-d,hill_climb,50000,4.568944693,69,31
DiscreteBayesianNetwork with 31 nodes and 71 edges,-5780072.677,bdeu,hill_climb,20000,3.427236319,71,31
DiscreteBayesianNetwork with 31 nodes and 69 edges,-5782666.985,bic-d,GES,50000,5.059355974,69,31
DiscreteBayesianNetwork with 31 nodes and 66 edges,-5787108.469,bdeu,hill_climb,10000,2.836765051,66,31
DiscreteBayesianNetwork with 31 nodes and 65 edges,-5787620.535,bic-d,hill_climb,20000,2.970633507,65,31
DiscreteBayesianNetwork with 31 nodes and 62 edges,-5790594.058,bic-d,GES,20000,3.4436903,62,31
DiscreteBayesianNetwork with 31 nodes and 62 edges,-5793594.87,bic-cg,GES,20000,109.7780213,62,31
DiscreteBayesianNetwork with 31 nodes and 53 edges,-5809190.686,bic-d,hill_climb,10000,2.352192879,53,31
DiscreteBayesianNetwork with 31 nodes and 53 edges,-5816216.921,bic-cg,GES,10000,62.35624027,53,31
DiscreteBayesianNetwork with 31 nodes and 49 edges,-5821691.486,bic-d,GES,10000,2.357690811,49,31
DiscreteBayesianNetwork with 31 nodes and 28 edges,-5962349.444,chi_square,pc,10000,18.19424224,28,31
DiscreteBayesianNetwork with 31 nodes and 25 edges,-6005447.323,chi_square,pc,20000,98.89037251,25,31
DiscreteBayesianNetwork with 31 nodes and 37 edges,-6028136.217,chi_square,pc,150000,8171.244118,37,31
DiscreteBayesianNetwork with 31 nodes and 40 edges,-6065315.677,chi_square,pc,200000,14912.68946,40,31
DiscreteBayesianNetwork with 31 nodes and 37 edges,-6069899.631,chi_square,pc,100000,3012.255255,37,31
DiscreteBayesianNetwork with 31 nodes and 29 edges,-6116584.051,chi_square,pc,50000,594.0716388,29,31
DiscreteBayesianNetwork with 31 nodes and 10 edges,-6428355.342,pillai,pc,10000,80.83703041,10,31
DiscreteBayesianNetwork with 31 nodes and 7 edges,-6462648.923,pillai,pc,150000,11674.2916,7,31
DiscreteBayesianNetwork with 31 nodes and 7 edges,-6468731.991,pillai,pc,330504,71825.90635,7,31
DiscreteBayesianNetwork with 31 nodes and 6 edges,-6472503.871,pillai,pc,200000,25738.99254,6,31
DiscreteBayesianNetwork with 31 nodes and 6 edges,-6479391.188,pillai,pc,50000,2338.28067,6,31
DiscreteBayesianNetwork with 31 nodes and 8 edges,-6496753.425,pillai,pc,20000,391.7830467,8,31
DiscreteBayesianNetwork with 31 nodes and 6 edges,-6517673.806,pillai,pc,100000,4862.924702,6,31
