Model,BDeu_Score,Score_method,Algorithm,Sample_Size,Training_Time_Seconds,Number_of_Edges,Number_of_df_variables
DiscreteBayesianNetwork with 31 nodes and 109 edges,-5747034.229244465,bdeu,hill_climb,330504,25.96473002433777,31,31
DiscreteBayesianNetwork with 31 nodes and 99 edges,-5749291.3988315975,bic-d,hill_climb,330504,23.162147760391235,31,31
DiscreteBayesianNetwork with 31 nodes and 99 edges,-5750628.159281943,bdeu,hill_climb,100000,11.334641218185425,31,31
DiscreteBayesianNetwork with 31 nodes and 103 edges,-5750988.329042051,bdeu,hill_climb,200000,15.57746696472168,31,31
DiscreteBayesianNetwork with 31 nodes and 97 edges,-5751498.903909008,bic-d,GES,330504,25.733213424682617,31,31
DiscreteBayesianNetwork with 31 nodes and 102 edges,-5751900.926595579,bic-cg,GES,330504,3781.078360557556,31,31
DiscreteBayesianNetwork with 31 nodes and 94 edges,-5755303.558865044,bic-d,hill_climb,200000,14.313050985336304,31,31
DiscreteBayesianNetwork with 31 nodes and 96 edges,-5756093.681153292,bdeu,hill_climb,150000,12.209067583084106,31,31
DiscreteBayesianNetwork with 31 nodes and 93 edges,-5757084.306794558,bic-d,GES,200000,16.802937030792236,31,31
DiscreteBayesianNetwork with 31 nodes and 89 edges,-5758384.1800830085,bic-d,GES,150000,11.603830099105835,31,31
DiscreteBayesianNetwork with 31 nodes and 93 edges,-5758490.384708425,bic-cg,GES,200000,1583.7895591259003,31,31
DiscreteBayesianNetwork with 31 nodes and 89 edges,-5760826.0572398575,bic-d,hill_climb,150000,12.320858240127563,31,31
DiscreteBayesianNetwork with 31 nodes and 81 edges,-5762352.686297682,bic-d,hill_climb,100000,7.941733121871948,31,31
DiscreteBayesianNetwork with 31 nodes and 81 edges,-5762352.686297682,bic-d,GES,100000,8.315039157867432,31,31
DiscreteBayesianNetwork with 31 nodes and 84 edges,-5764140.071103673,bic-cg,GES,100000,609.9183325767517,31,31
DiscreteBayesianNetwork with 31 nodes and 83 edges,-5765236.410243196,bdeu,hill_climb,50000,5.9392030239105225,31,31
DiscreteBayesianNetwork with 31 nodes and 84 edges,-5768362.873408442,bic-cg,GES,150000,1099.2119190692902,31,31
DiscreteBayesianNetwork with 31 nodes and 121 edges,-5771404.765325614,k2,hill_climb,100000,14.898418426513672,31,31
DiscreteBayesianNetwork with 31 nodes and 121 edges,-5771468.050414319,k2,hill_climb,150000,17.24839186668396,31,31
DiscreteBayesianNetwork with 31 nodes and 126 edges,-5771677.875123679,k2,hill_climb,200000,21.66445755958557,31,31
DiscreteBayesianNetwork with 31 nodes and 126 edges,-5772560.7476546755,k2,hill_climb,330504,30.68604612350464,31,31
DiscreteBayesianNetwork with 31 nodes and 70 edges,-5776458.150121877,bic-cg,GES,50000,239.1948173046112,31,31
DiscreteBayesianNetwork with 31 nodes and 69 edges,-5780070.513619511,bic-d,hill_climb,50000,4.568944692611694,31,31
DiscreteBayesianNetwork with 31 nodes and 71 edges,-5780072.676636447,bdeu,hill_climb,20000,3.427236318588257,31,31
DiscreteBayesianNetwork with 31 nodes and 69 edges,-5782666.985158598,bic-d,GES,50000,5.059355974197388,31,31
DiscreteBayesianNetwork with 31 nodes and 66 edges,-5787108.468977941,bdeu,hill_climb,10000,2.8367650508880615,31,31
DiscreteBayesianNetwork with 31 nodes and 65 edges,-5787620.535237099,bic-d,hill_climb,20000,2.9706335067749023,31,31
DiscreteBayesianNetwork with 31 nodes and 62 edges,-5790594.05779897,bic-d,GES,20000,3.443690299987793,31,31
DiscreteBayesianNetwork with 31 nodes and 62 edges,-5793594.870132569,bic-cg,GES,20000,109.7780213356018,31,31
DiscreteBayesianNetwork with 31 nodes and 113 edges,-5796722.94796765,k2,hill_climb,50000,10.779775381088257,31,31
DiscreteBayesianNetwork with 31 nodes and 94 edges,-5804533.647672622,k2,hill_climb,20000,4.857535362243652,31,31
DiscreteBayesianNetwork with 31 nodes and 53 edges,-5809190.685947527,bic-d,hill_climb,10000,2.3521928787231445,31,31
DiscreteBayesianNetwork with 31 nodes and 88 edges,-5814483.294734402,k2,hill_climb,10000,3.4272878170013428,31,31
DiscreteBayesianNetwork with 31 nodes and 53 edges,-5816216.92085562,bic-cg,GES,10000,62.35624027252197,31,31
DiscreteBayesianNetwork with 31 nodes and 49 edges,-5821691.486231189,bic-d,GES,10000,2.3576908111572266,31,31
DiscreteBayesianNetwork with 31 nodes and 28 edges,-5962349.444450342,chi_square,pc,10000,18.194242238998413,31,31
DiscreteBayesianNetwork with 31 nodes and 25 edges,-6005447.323456205,chi_square,pc,20000,98.89037251472473,31,31
DiscreteBayesianNetwork with 31 nodes and 37 edges,-6028136.21736503,chi_square,pc,150000,8171.244118452072,31,31
DiscreteBayesianNetwork with 31 nodes and 40 edges,-6065315.67695242,chi_square,pc,200000,14912.689460515976,31,31
DiscreteBayesianNetwork with 31 nodes and 37 edges,-6069899.630885758,chi_square,pc,100000,3012.255254507065,31,31
DiscreteBayesianNetwork with 31 nodes and 29 edges,-6116584.05090399,chi_square,pc,50000,594.0716388225555,31,31
DiscreteBayesianNetwork with 31 nodes and 10 edges,-6428355.342313494,pillai,pc,10000,80.8370304107666,31,31
DiscreteBayesianNetwork with 31 nodes and 7 edges,-6462648.922722713,pillai,pc,150000,11674.291599750519,31,31
DiscreteBayesianNetwork with 31 nodes and 7 edges,-6468731.991010662,pillai,pc,330504,71825.90635204315,31,31
DiscreteBayesianNetwork with 31 nodes and 6 edges,-6472503.870680449,pillai,pc,200000,25738.992544412613,31,31
DiscreteBayesianNetwork with 31 nodes and 6 edges,-6479391.1878209505,pillai,pc,50000,2338.2806701660156,31,31
DiscreteBayesianNetwork with 31 nodes and 8 edges,-6496753.425268087,pillai,pc,20000,391.7830467224121,31,31
DiscreteBayesianNetwork with 31 nodes and 6 edges,-6517673.805911851,pillai,pc,100000,4862.924702167511,31,31
